Series ID,Year,Period,Label,Value
LNS12300062,2019,M01,2019 Jan,73.3
LNS12300062,2019,M02,2019 Feb,73.4
LNS12300062,2019,M03,2019 Mar,73.1
LNS12300062,2019,M04,2019 Apr,73.2
LNS12300062,2019,M05,2019 May,73.3
LNS12300062,2019,M06,2019 Jun,73.5
LNS12300062,2019,M07,2019 Jul,73.1
LNS12300062,2019,M08,2019 Aug,73.9
LNS12300062,2019,M09,2019 Sep,74.2
LNS12300062,2019,M10,2019 Oct,74.3
LNS12300062,2019,M11,2019 Nov,74.2
LNS12300062,2019,M12,2019 Dec,74.5
LNS12300062,2020,M01,2020 Jan,74.6
LNS12300062,2020,M02,2020 Feb,74.7
LNS12300062,2020,M03,2020 Mar,73.3
LNS12300062,2020,M04,2020 Apr,63.4
LNS12300062,2020,M05,2020 May,64.9
LNS12300062,2020,M06,2020 Jun,67.6
LNS12300062,2020,M07,2020 Jul,68.0
LNS12300062,2020,M08,2020 Aug,69.1
LNS12300062,2020,M09,2020 Sep,68.9
LNS12300062,2020,M10,2020 Oct,70.1
LNS12300062,2020,M11,2020 Nov,70.3
LNS12300062,2020,M12,2020 Dec,70.4
LNS12300062,2021,M01,2021 Jan,70.4
LNS12300062,2021,M02,2021 Feb,70.7
LNS12300062,2021,M03,2021 Mar,71.1
LNS12300062,2021,M04,2021 Apr,71.1
LNS12300062,2021,M05,2021 May,71.3
LNS12300062,2021,M06,2021 Jun,71.3
LNS12300062,2021,M07,2021 Jul,72.0
LNS12300062,2021,M08,2021 Aug,72.0
LNS12300062,2021,M09,2021 Sep,72.1
LNS12300062,2021,M10,2021 Oct,72.2
LNS12300062,2021,M11,2021 Nov,73.0
LNS12300062,2021,M12,2021 Dec,73.3
LNS12300062,2022,M01,2022 Jan,73.4
LNS12300062,2022,M02,2022 Feb,73.3
LNS12300062,2022,M03,2022 Mar,74.1
LNS12300062,2022,M04,2022 Apr,74.0
LNS12300062,2022,M05,2022 May,74.1
LNS12300062,2022,M06,2022 Jun,73.9
LNS12300062,2022,M07,2022 Jul,74.1
LNS12300062,2022,M08,2022 Aug,74.7
LNS12300062,2022,M09,2022 Sep,74.4
LNS12300062,2022,M10,2022 Oct,74.0
LNS12300062,2022,M11,2022 Nov,73.8
LNS12300062,2022,M12,2022 Dec,74.1
LNS12300062,2023,M01,2023 Jan,74.7
LNS12300062,2023,M02,2023 Feb,74.8
LNS12300062,2023,M03,2023 Mar,74.9
LNS12300062,2023,M04,2023 Apr,75.1
LNS12300062,2023,M05,2023 May,75.1
LNS12300062,2023,M06,2023 Jun,75.3
